nohup: ignoring input
Current Timestamp: 2025-03-13 20:44:17.839763
Current Timestamp: 2025-03-13 20:44:31.780819
Current Timestamp: 2025-03-13 20:44:45.499529
Current Timestamp: 2025-03-13 20:44:59.400066
Current Timestamp: 2025-03-13 20:45:13.910472
Current Timestamp: 2025-03-13 20:45:28.009561
Current Timestamp: 2025-03-13 20:45:41.961826
Current Timestamp: 2025-03-13 20:45:55.844641
Current Timestamp: 2025-03-13 20:46:10.351674
Current Timestamp: 2025-03-13 20:46:24.441176
Current Timestamp: 2025-03-13 20:46:38.590083
Current Timestamp: 2025-03-13 20:46:52.622285
Current Timestamp: 2025-03-13 20:47:07.668087
Current Timestamp: 2025-03-13 20:47:21.543506
Current Timestamp: 2025-03-13 20:47:35.366861
Current Timestamp: 2025-03-13 20:47:49.433553
Current Timestamp: 2025-03-13 20:48:03.364954
Current Timestamp: 2025-03-13 20:48:17.431932
Current Timestamp: 2025-03-13 20:48:32.303091
Current Timestamp: 2025-03-13 20:48:46.891428
Current Timestamp: 2025-03-13 20:49:01.093053
Current Timestamp: 2025-03-13 20:49:15.091117
Current Timestamp: 2025-03-13 20:49:29.273137
Current Timestamp: 2025-03-13 20:49:43.477415
Current Timestamp: 2025-03-13 20:49:57.389661
Current Timestamp: 2025-03-13 20:50:11.266149
Current Timestamp: 2025-03-13 20:50:25.583364
Current Timestamp: 2025-03-13 20:50:40.300862
Current Timestamp: 2025-03-13 20:50:54.732895
Current Timestamp: 2025-03-13 20:51:08.784258
Current Timestamp: 2025-03-13 20:51:22.901510
Current Timestamp: 2025-03-13 20:51:37.098168
Current Timestamp: 2025-03-13 20:51:51.086925
Current Timestamp: 2025-03-13 20:52:05.746784
Current Timestamp: 2025-03-13 20:52:20.078540
Current Timestamp: 2025-03-13 20:52:34.080530
Current Timestamp: 2025-03-13 20:52:48.420107
Current Timestamp: 2025-03-13 20:53:02.632867
Current Timestamp: 2025-03-13 20:53:16.640086
Current Timestamp: 2025-03-13 20:53:30.633271
Current Timestamp: 2025-03-13 20:53:45.293990
Current Timestamp: 2025-03-13 20:53:59.213749
Current Timestamp: 2025-03-13 20:54:13.221352
Current Timestamp: 2025-03-13 20:54:27.231621
Current Timestamp: 2025-03-13 20:54:41.016288
Current Timestamp: 2025-03-13 20:54:56.287892
Current Timestamp: 2025-03-13 20:55:10.459567
Current Timestamp: 2025-03-13 20:55:24.685447
Current Timestamp: 2025-03-13 20:55:38.929785
Current Timestamp: 2025-03-13 20:55:53.058046
Current Timestamp: 2025-03-13 20:56:06.906835
Current Timestamp: 2025-03-13 20:56:21.407138
Current Timestamp: 2025-03-13 20:56:35.180181
Current Timestamp: 2025-03-13 20:56:49.002623
Current Timestamp: 2025-03-13 20:57:02.898854
Current Timestamp: 2025-03-13 20:57:16.461377
Current Timestamp: 2025-03-13 20:57:30.517800
Current Timestamp: 2025-03-13 20:57:44.423872
Current Timestamp: 2025-03-13 20:57:58.222532
Current Timestamp: 2025-03-13 20:58:12.218335
Current Timestamp: 2025-03-13 20:58:26.555700
Current Timestamp: 2025-03-13 20:58:40.655314
Current Timestamp: 2025-03-13 20:58:54.722267
Current Timestamp: 2025-03-13 20:59:08.633609
Current Timestamp: 2025-03-13 20:59:22.771253
Current Timestamp: 2025-03-13 20:59:36.884477
Current Timestamp: 2025-03-13 20:59:50.691006
Current Timestamp: 2025-03-13 21:00:04.409774
Current Timestamp: 2025-03-13 21:00:18.270291
Current Timestamp: 2025-03-13 21:00:32.571604
Current Timestamp: 2025-03-13 21:00:46.710772
Current Timestamp: 2025-03-13 21:01:00.772180
Current Timestamp: 2025-03-13 21:01:15.651207
Current Timestamp: 2025-03-13 21:01:30.510953
Current Timestamp: 2025-03-13 21:01:44.547748
Current Timestamp: 2025-03-13 21:01:59.188626
Current Timestamp: 2025-03-13 21:02:13.229342
Current Timestamp: 2025-03-13 21:02:27.304506
Current Timestamp: 2025-03-13 21:02:41.021443
Current Timestamp: 2025-03-13 21:02:54.920359
Current Timestamp: 2025-03-13 21:03:08.460651
Current Timestamp: 2025-03-13 21:03:22.536431
Current Timestamp: 2025-03-13 21:03:36.405873
Current Timestamp: 2025-03-13 21:03:50.376084
Current Timestamp: 2025-03-13 21:04:05.788720
Current Timestamp: 2025-03-13 21:04:19.918016
Current Timestamp: 2025-03-13 21:04:33.636393
Current Timestamp: 2025-03-13 21:04:47.716611
Current Timestamp: 2025-03-13 21:05:02.662297
Current Timestamp: 2025-03-13 21:05:16.838399
Current Timestamp: 2025-03-13 21:05:30.983415
Current Timestamp: 2025-03-13 21:05:45.032159
Current Timestamp: 2025-03-13 21:05:59.003836
Current Timestamp: 2025-03-13 21:06:13.493498
Current Timestamp: 2025-03-13 21:06:27.527157
Current Timestamp: 2025-03-13 21:06:41.549067
Removed 0 edges
1393
1293
1194
1094
994
894
794
694
594
494
394
294
194
94
Current Timestamp: 2025-03-13 21:07:22.907589
Current Timestamp: 2025-03-13 21:07:37.700685
Current Timestamp: 2025-03-13 21:07:52.494651
Current Timestamp: 2025-03-13 21:08:06.843493
Current Timestamp: 2025-03-13 21:08:20.840537
Current Timestamp: 2025-03-13 21:08:34.655715
Current Timestamp: 2025-03-13 21:08:48.766475
Current Timestamp: 2025-03-13 21:09:03.022193
Current Timestamp: 2025-03-13 21:09:17.084182
Current Timestamp: 2025-03-13 21:09:31.164938
Current Timestamp: 2025-03-13 21:09:45.225398
Current Timestamp: 2025-03-13 21:09:59.423657
Current Timestamp: 2025-03-13 21:10:13.361789
Current Timestamp: 2025-03-13 21:10:27.724181
Current Timestamp: 2025-03-13 21:10:42.127736
Current Timestamp: 2025-03-13 21:10:56.588038
Current Timestamp: 2025-03-13 21:11:10.748845
Current Timestamp: 2025-03-13 21:11:25.323817
Current Timestamp: 2025-03-13 21:11:39.554514
Current Timestamp: 2025-03-13 21:11:54.967604
Current Timestamp: 2025-03-13 21:12:08.776027
Current Timestamp: 2025-03-13 21:12:22.622930
Current Timestamp: 2025-03-13 21:12:36.816717
Current Timestamp: 2025-03-13 21:12:50.813125
Current Timestamp: 2025-03-13 21:13:04.762171
Current Timestamp: 2025-03-13 21:13:18.615355
Current Timestamp: 2025-03-13 21:13:32.630160
Current Timestamp: 2025-03-13 21:13:46.477898
Current Timestamp: 2025-03-13 21:14:01.318397
Current Timestamp: 2025-03-13 21:14:15.961202
Current Timestamp: 2025-03-13 21:14:29.957656
Current Timestamp: 2025-03-13 21:14:43.990279
Current Timestamp: 2025-03-13 21:14:57.825510
Current Timestamp: 2025-03-13 21:15:11.798888
Current Timestamp: 2025-03-13 21:15:25.872958
Current Timestamp: 2025-03-13 21:15:39.624057
Current Timestamp: 2025-03-13 21:15:53.678051
Current Timestamp: 2025-03-13 21:16:07.706328
Current Timestamp: 2025-03-13 21:16:21.660944
Current Timestamp: 2025-03-13 21:16:35.762612
Current Timestamp: 2025-03-13 21:16:49.774975
Current Timestamp: 2025-03-13 21:17:04.160620
Current Timestamp: 2025-03-13 21:17:18.153377
Current Timestamp: 2025-03-13 21:17:32.257078
Current Timestamp: 2025-03-13 21:17:46.280315
Current Timestamp: 2025-03-13 21:18:00.389349
Current Timestamp: 2025-03-13 21:18:15.123892
Current Timestamp: 2025-03-13 21:18:29.047171
Current Timestamp: 2025-03-13 21:18:42.892842
Current Timestamp: 2025-03-13 21:18:57.233488
Current Timestamp: 2025-03-13 21:19:11.565086
Current Timestamp: 2025-03-13 21:19:25.657957
Current Timestamp: 2025-03-13 21:19:39.834988
Current Timestamp: 2025-03-13 21:19:53.858714
Current Timestamp: 2025-03-13 21:20:08.332772
Current Timestamp: 2025-03-13 21:20:22.518888
Current Timestamp: 2025-03-13 21:20:37.268985
Current Timestamp: 2025-03-13 21:20:51.813787
Current Timestamp: 2025-03-13 21:21:06.507922
Current Timestamp: 2025-03-13 21:21:20.802487
Current Timestamp: 2025-03-13 21:21:34.835872
Current Timestamp: 2025-03-13 21:21:48.952164
Current Timestamp: 2025-03-13 21:22:03.013832
Current Timestamp: 2025-03-13 21:22:17.130247
Current Timestamp: 2025-03-13 21:22:31.344943
Current Timestamp: 2025-03-13 21:22:45.221336
Current Timestamp: 2025-03-13 21:22:59.167150
Current Timestamp: 2025-03-13 21:23:13.122658
Current Timestamp: 2025-03-13 21:23:27.298019
Current Timestamp: 2025-03-13 21:23:40.995860
Current Timestamp: 2025-03-13 21:23:54.924064
Current Timestamp: 2025-03-13 21:24:09.082285
Current Timestamp: 2025-03-13 21:24:23.196714
Current Timestamp: 2025-03-13 21:24:37.581529
Current Timestamp: 2025-03-13 21:24:51.966685
Current Timestamp: 2025-03-13 21:25:05.943352
Current Timestamp: 2025-03-13 21:25:20.047710
Current Timestamp: 2025-03-13 21:25:33.902617
Current Timestamp: 2025-03-13 21:25:47.912151
Current Timestamp: 2025-03-13 21:26:01.828760
Current Timestamp: 2025-03-13 21:26:15.904157
Current Timestamp: 2025-03-13 21:26:29.782049
Current Timestamp: 2025-03-13 21:26:44.051679
Current Timestamp: 2025-03-13 21:27:00.437497
Current Timestamp: 2025-03-13 21:27:14.747151
Current Timestamp: 2025-03-13 21:27:28.418961
Current Timestamp: 2025-03-13 21:27:42.403470
Current Timestamp: 2025-03-13 21:27:56.462642
Current Timestamp: 2025-03-13 21:28:10.561033
Current Timestamp: 2025-03-13 21:28:24.529510
Current Timestamp: 2025-03-13 21:28:38.493991
Current Timestamp: 2025-03-13 21:28:52.755911
Current Timestamp: 2025-03-13 21:29:07.092555
Current Timestamp: 2025-03-13 21:29:21.281769
Current Timestamp: 2025-03-13 21:29:35.332085
Current Timestamp: 2025-03-13 21:29:49.317460
Current Timestamp: 2025-03-13 21:30:04.206951
Current Timestamp: 2025-03-13 21:30:18.824486
Current Timestamp: 2025-03-13 21:30:32.908259
Current Timestamp: 2025-03-13 21:30:47.415090
Current Timestamp: 2025-03-13 21:31:01.993386
Current Timestamp: 2025-03-13 21:31:16.434853
Current Timestamp: 2025-03-13 21:31:30.481344
Current Timestamp: 2025-03-13 21:31:44.559890
Current Timestamp: 2025-03-13 21:31:59.132607
Current Timestamp: 2025-03-13 21:32:13.133890
Current Timestamp: 2025-03-13 21:32:27.438543
Current Timestamp: 2025-03-13 21:32:41.823877
Current Timestamp: 2025-03-13 21:32:56.424557
Current Timestamp: 2025-03-13 21:33:10.388474
Current Timestamp: 2025-03-13 21:33:25.525183
Current Timestamp: 2025-03-13 21:33:39.531165
Current Timestamp: 2025-03-13 21:33:53.555506
Current Timestamp: 2025-03-13 21:34:07.770858
Current Timestamp: 2025-03-13 21:34:21.970475
Current Timestamp: 2025-03-13 21:34:36.184247
Current Timestamp: 2025-03-13 21:34:50.624217
Current Timestamp: 2025-03-13 21:35:05.103384
Current Timestamp: 2025-03-13 21:35:19.109557
Current Timestamp: 2025-03-13 21:35:33.120439
Current Timestamp: 2025-03-13 21:35:47.442889
Current Timestamp: 2025-03-13 21:36:01.576802
Current Timestamp: 2025-03-13 21:36:15.807604
Current Timestamp: 2025-03-13 21:36:32.648067
Current Timestamp: 2025-03-13 21:36:46.666829
Current Timestamp: 2025-03-13 21:37:00.844450
Current Timestamp: 2025-03-13 21:37:14.816830
Current Timestamp: 2025-03-13 21:37:28.958378
Current Timestamp: 2025-03-13 21:37:42.741192
Current Timestamp: 2025-03-13 21:37:56.814082
Current Timestamp: 2025-03-13 21:38:10.573154
Current Timestamp: 2025-03-13 21:38:24.450556
Current Timestamp: 2025-03-13 21:38:38.535739
Current Timestamp: 2025-03-13 21:38:52.638196
Current Timestamp: 2025-03-13 21:39:06.322544
Current Timestamp: 2025-03-13 21:39:20.336311
Current Timestamp: 2025-03-13 21:39:34.192865
Current Timestamp: 2025-03-13 21:39:48.656933
Current Timestamp: 2025-03-13 21:40:02.860251
Current Timestamp: 2025-03-13 21:40:16.816917
Current Timestamp: 2025-03-13 21:40:30.607574
Current Timestamp: 2025-03-13 21:40:44.889274
Current Timestamp: 2025-03-13 21:40:58.983619
Current Timestamp: 2025-03-13 21:41:13.407630
Current Timestamp: 2025-03-13 21:41:27.368902
Current Timestamp: 2025-03-13 21:41:41.858350
Current Timestamp: 2025-03-13 21:41:56.226039
Current Timestamp: 2025-03-13 21:42:09.981002
Current Timestamp: 2025-03-13 21:42:24.048456
Current Timestamp: 2025-03-13 21:42:38.345225
Current Timestamp: 2025-03-13 21:42:52.218477
Current Timestamp: 2025-03-13 21:43:05.995809
Current Timestamp: 2025-03-13 21:43:20.085765
Current Timestamp: 2025-03-13 21:43:34.736788
Current Timestamp: 2025-03-13 21:43:48.520476
Current Timestamp: 2025-03-13 21:44:02.440241
Current Timestamp: 2025-03-13 21:44:16.944479
Current Timestamp: 2025-03-13 21:44:30.736019
Current Timestamp: 2025-03-13 21:44:44.962428
Current Timestamp: 2025-03-13 21:44:58.858167
Current Timestamp: 2025-03-13 21:45:12.729892
Current Timestamp: 2025-03-13 21:45:26.886322
Current Timestamp: 2025-03-13 21:45:40.892682
Current Timestamp: 2025-03-13 21:45:54.964242
Current Timestamp: 2025-03-13 21:46:09.969843
Current Timestamp: 2025-03-13 21:46:24.004047
Current Timestamp: 2025-03-13 21:46:38.083776
Current Timestamp: 2025-03-13 21:46:52.317319
Current Timestamp: 2025-03-13 21:47:06.697254
Current Timestamp: 2025-03-13 21:47:20.560954
Current Timestamp: 2025-03-13 21:47:34.440312
Current Timestamp: 2025-03-13 21:47:48.706773
Current Timestamp: 2025-03-13 21:48:02.705066
Current Timestamp: 2025-03-13 21:48:16.603099
Current Timestamp: 2025-03-13 21:48:30.639332
Current Timestamp: 2025-03-13 21:48:44.658834
Current Timestamp: 2025-03-13 21:48:58.708220
Current Timestamp: 2025-03-13 21:49:12.532095
Current Timestamp: 2025-03-13 21:49:26.729499
Current Timestamp: 2025-03-13 21:49:40.835039
Current Timestamp: 2025-03-13 21:49:55.336509
Current Timestamp: 2025-03-13 21:50:09.086989
Current Timestamp: 2025-03-13 21:50:23.306485
Current Timestamp: 2025-03-13 21:50:37.542698
Current Timestamp: 2025-03-13 21:50:52.171672
Current Timestamp: 2025-03-13 21:51:06.241582
Current Timestamp: 2025-03-13 21:51:20.197992
Current Timestamp: 2025-03-13 21:51:34.116113
Current Timestamp: 2025-03-13 21:51:47.976114
Current Timestamp: 2025-03-13 21:52:02.679547
Current Timestamp: 2025-03-13 21:52:17.146174
Current Timestamp: 2025-03-13 21:52:32.883537
Current Timestamp: 2025-03-13 21:52:47.257044
Current Timestamp: 2025-03-13 21:53:01.242354
Current Timestamp: 2025-03-13 21:53:15.247293
Current Timestamp: 2025-03-13 21:53:29.139014
Current Timestamp: 2025-03-13 21:53:42.917032
Current Timestamp: 2025-03-13 21:53:56.935316
Current Timestamp: 2025-03-13 21:54:10.705504
Current Timestamp: 2025-03-13 21:54:24.859389
Current Timestamp: 2025-03-13 21:54:39.037583
Current Timestamp: 2025-03-13 21:54:53.146912
Current Timestamp: 2025-03-13 21:55:07.196317
Current Timestamp: 2025-03-13 21:55:21.169560
Current Timestamp: 2025-03-13 21:55:35.020775
Current Timestamp: 2025-03-13 21:55:48.818631
Current Timestamp: 2025-03-13 21:56:03.004437
Current Timestamp: 2025-03-13 21:56:17.089962
Current Timestamp: 2025-03-13 21:56:31.057808
Current Timestamp: 2025-03-13 21:56:44.837576
Current Timestamp: 2025-03-13 21:56:59.367114
Current Timestamp: 2025-03-13 21:57:13.257345
Current Timestamp: 2025-03-13 21:57:27.470589
Current Timestamp: 2025-03-13 21:57:41.462278
Current Timestamp: 2025-03-13 21:57:55.327394
